UST Yield - US 30Y Mortgage Yield Spread,(-) ASIA HY Credit Spread,(-) DE-US 10Y Yield Spread,IT-DE 10Y Yield Spread,(-) US 10Y High Yield Spread (Baa),(-) EMBI+ Credit Spread(Global),US CP Spread(3m),(-) China CDS 5Y
1.151970022,-0.145473784,0.528095423,1.089752994,0.095208569,-0.952201095,0.234137871,-0.422633879
1.151970022,-0.074780619,0.504189983,0.886909356,0.168385402,-0.521388802,0.264282534,-0.472066862
1.38644849,0.093397774,0.309617086,0.851234547,0.379785144,-0.18120692,0.175951661,-0.357945509
0.976111171,0.201631392,0.195173259,0.667658562,0.274085273,-0.465811837,0.191374512,-0.443804618
0.624393469,0.203596407,0.239744056,0.781734631,-0.099929655,-0.697927398,0.165436081,-0.640810106
0.448534618,0.070851405,0.152141869,0.892041857,-0.587775212,-1.313269745,0.192075551,-1.025031346
0.624393469,-0.00659699,0.142457607,0.924869831,-0.791044195,-1.510513485,-0.200506106,-1.459515794
0.565773852,0.089483528,0.175286269,1.051591044,-1.091882288,-1.423515556,-0.153536515,-1.162329815
0.917491554,0.224130411,0.439701541,1.077806753,-1.026836214,-0.971089998,0.199085937,-0.788866909
0.683013086,0.10776842,0.344899467,1.105085615,-1.701689236,-1.508152372,-0.416426017,-1.056441527
0.741632703,-0.023019459,0.259962918,1.060221477,-2.335888461,-2.31183888,-0.541911939,-1.606292667
0.858871937,-0.16757033,0.21604387,0.727240651,-2.896910852,-2.670728041,-0.230650769,-2.122623469
1.093350405,0.039663708,0.383663171,0.97026896,-1.815519866,-1.537393847,-0.576262834,-1.622136128
0.976111171,0.175218128,0.319706525,0.870842545,-1.41711266,-1.129102939,-0.943607099,-1.630369193
1.151970022,0.284643382,0.351708839,0.774301668,-1.140666844,-1.077521703,-0.603603343,-1.71263066
0.858871937,0.337106896,0.328048638,0.632900067,-1.116274566,-1.077340079,-0.839152337,-1.660707001
