미국 Redbook 월간 소비증가율???,기업 파산건수,US PPI - CPI Index,Korea Export Growth,China Credit Impulse,미국 산업생산 증가율,"미국 자동차 판매: HEAVY & MEDIUM TRUCKS (백만대, 좌)",미국 제조업 신규수주,미국 제조업 판매대비 재고율,BDI,JOLTS,미국 자동차 제외 소매판매 (YoY),미국 전산업 가동률,US 기업+가계대출 증가율,미국 소비자 신용 변화율(아웃스탠딩)
-0.607701341,-0.001148389,-1.107450405,-1.696711417,-1.047141709,-1.133869542,0.749083865,-1.618092262,-0.324388319,-0.753464196,-0.02695553,-0.763126212,-0.973739343,0.402941721,-0.114958137
-0.812582899,-0.131081422,-1.251064555,-1.262329428,-0.798454954,-1.106820522,0.386246368,-1.270332392,-0.324388319,-0.706170266,-0.374779943,-0.529672736,-0.942140526,0.438423917,-0.125882342
-0.81729282,-0.263992357,-1.32287163,-0.89800905,-1.58531539,-1.207639597,0.386246368,-0.178418449,-0.324388319,-0.584806383,0.230674126,-0.759878235,-1.023938646,0.456332049,-0.210346793
-0.786678335,-1.579722886,-1.107450405,-1.101187723,-1.900059564,-1.001083443,0.023408871,-0.800417394,-0.226376254,-0.123897813,-0.470009882,-0.666362045,-0.843193169,0.454370291,-0.185640751
-0.793743216,-2.680296741,-1.32287163,-0.750879667,-1.9428026,-0.942067399,-0.158009878,-0.6922914,-0.226376254,-0.109320997,-0.460744565,-0.682479666,-0.794921518,0.437609971,-0.19211539
-0.836132504,-2.843592286,-1.251064555,-0.526682511,-1.884516642,-0.757642261,-0.702266124,-0.35343698,-0.128364189,-0.324045434,-0.181703616,-0.4512722,-0.633588884,0.335108694,-0.271688793
-0.838487464,-2.119316704,-1.17925748,-1.059150756,-1.433771899,-0.875674349,-0.883684872,-1.305974525,-0.226376254,-0.508191141,-0.731401666,-0.809364754,-0.750811944,0.314656886,-0.32899892
-0.895006515,-1.560867088,-1.251064555,-0.14134365,-1.476514935,-0.846166327,-1.065103621,-0.551369764,-0.226376254,-0.627568105,-0.461026101,-0.744374191,-0.744341562,0.173341743,-0.326164533
-0.854972187,-1.281322026,-0.74841503,-0.743873506,-1.272514081,-0.806822298,-0.883684872,-0.430251573,-0.128364189,-0.245684126,-0.306474587,-0.708442332,-0.713388765,0.213621597,-0.279748518
-0.847907306,-1.055963675,-0.497090268,-0.547700995,-1.196742335,-0.676495201,-0.883684872,-0.428970652,-0.128364189,-0.037982561,-0.811632268,-0.608003733,-0.608297163,0.212537108,-0.254726366
