,S&P 500 Growth Total Return Index,S&P 500 High Beta Total Return Index,S&P 500 Quality U.S. Dollar Gross Total Return Index,S&P 500 QVML Multi-Factor Index (USD) TR,S&P 500 Value Total Return Index,S&P 500 Revenue-Weighted Index (TR),S&P 500 Minimum Volatility Total Return Index,S&P 500 Equal Weighted USD Total Return Index,S&P 500 Buyback Total Return Index,S&P 500 Low Volatility Total Return Index,S&P 500 Momentum U.S. Dollar Gross Total Return Index,S&P 500 Enhanced Value Total Return Index,S&P 500 Pure Growth Total Return Index,S&P 500 Dividend Aristocrats Total Return Index,S&P 500 Pure Value Total Return Index,S&P 500 Low Volatility High Dividend Index,S&P 500 High Dividend Total Return Index,S&P 100 Total Return 4 JAN 1988 Index,S&P 500 Total Return Index
2013-09-22,102.5905,#N/A N/A,#N/A N/A,#N/A N/A,128.8,812.7006,#N/A N/A,400.8773,1488.2746,751.966,67.4466,#N/A N/A,716.2946,86.1124,788.6247,727.1101,#N/A N/A,103.5252,230.8082
2013-09-23,102.8811,#N/A N/A,#N/A N/A,#N/A N/A,128.9869,810.954,#N/A N/A,382.7778,1487.4931,751.3528,67.463,#N/A N/A,702.7467,86.1257,788.6247,726.6762,#N/A N/A,104.1123,231.2813
2013-09-24,102.9586,#N/A N/A,#N/A N/A,#N/A N/A,128.8577,821.664,#N/A N/A,382.8366,1486.3713,751.534,67.4794,#N/A N/A,702.9177,86.1548,788.6247,726.9492,#N/A N/A,104.0898,231.256
2013-09-25,103.0743,#N/A N/A,#N/A N/A,#N/A N/A,129.1329,822.7805,#N/A N/A,383.2721,1487.545,752.4272,67.4958,#N/A N/A,704.2973,86.2008,788.6247,727.3854,#N/A N/A,104.3182,231.6345
2013-09-26,103.0712,#N/A N/A,#N/A N/A,#N/A N/A,129.0736,822.6089,#N/A N/A,383.2776,1487.0062,752.6406,67.5122,#N/A N/A,703.9114,86.237,788.6247,727.5368,#N/A N/A,104.2585,231.5402
2013-09-27,103.1011,#N/A N/A,#N/A N/A,#N/A N/A,129.1472,822.6535,#N/A N/A,383.3168,1487.168,752.8435,67.5286,#N/A N/A,704.7856,86.2688,788.6247,727.7175,#N/A N/A,104.2923,231.6087
2013-09-28,103.1302,#N/A N/A,#N/A N/A,#N/A N/A,129.1764,822.8639,#N/A N/A,383.437,1487.504,752.9936,67.545,#N/A N/A,705.0737,86.2929,788.6247,727.8702,#N/A N/A,104.3153,231.6673
2013-09-29,103.1579,#N/A N/A,#N/A N/A,#N/A N/A,129.2058,823.0707,#N/A N/A,383.5501,1487.7536,753.1229,67.5614,#N/A N/A,705.3448,86.3173,788.6247,727.9799,#N/A N/A,104.3388,231.7246
2013-09-30,103.2092,#N/A N/A,#N/A N/A,#N/A N/A,129.1236,822.3445,#N/A N/A,383.5154,1487.0475,753.294,67.5778,#N/A N/A,704.9439,86.3413,788.6247,728.2627,#N/A N/A,104.3457,231.7013
2013-10-01,103.2422,#N/A N/A,#N/A N/A,#N/A N/A,129.0978,822.3831,#N/A N/A,383.7701,1488.9317,753.4399,67.5942,#N/A N/A,705.5972,86.4031,788.6247,728.5042,#N/A N/A,104.2793,231.6681
2013-10-02,103.245,#N/A N/A,#N/A N/A,#N/A N/A,129.1263,822.5602,#N/A N/A,383.886,1490.319,753.9479,67.6106,#N/A N/A,706.1847,86.4755,788.6247,728.7333,#N/A N/A,104.2818,231.7062
2013-10-03,103.3186,#N/A N/A,#N/A N/A,#N/A N/A,129.2142,822.7172,#N/A N/A,384.3677,1495.2431,754.2394,67.6269,#N/A N/A,708.2171,86.5035,788.6247,729.1598,#N/A N/A,104.3275,231.873
2013-10-04,103.3029,#N/A N/A,#N/A N/A,#N/A N/A,129.3393,821.9636,#N/A N/A,384.6754,1494.7317,754.5501,67.6433,#N/A N/A,707.6005,86.5485,788.6247,728.9793,#N/A N/A,104.5067,232.0948
2013-10-05,103.3294,#N/A N/A,#N/A N/A,#N/A N/A,129.3662,822.1641,#N/A N/A,384.7805,1495.0398,754.6085,67.6597,#N/A N/A,707.8514,86.5724,788.6247,729.0836,#N/A N/A,104.5292,232.1486
2013-10-06,103.3573,#N/A N/A,#N/A N/A,#N/A N/A,129.394,822.365,#N/A N/A,384.8914,1495.348,754.736,67.6761,#N/A N/A,708.1023,86.5966,788.6247,729.1903,#N/A N/A,104.5522,232.2045
2013-10-07,103.2927,#N/A N/A,#N/A N/A,#N/A N/A,129.1179,821.494,#N/A N/A,384.6758,1496.4909,754.1704,67.6925,#N/A N/A,708.5388,86.5269,788.6247,727.9224,#N/A N/A,104.3616,231.9064
2013-10-08,103.2264,#N/A N/A,#N/A N/A,#N/A N/A,129.0662,821.3072,#N/A N/A,384.9275,1499.6079,753.4051,67.7089,#N/A N/A,709.7419,86.5705,788.6247,727.7534,#N/A N/A,104.2749,231.84
2013-10-09,103.2649,#N/A N/A,#N/A N/A,#N/A N/A,129.1847,820.9069,#N/A N/A,385.3717,1500.0882,753.3185,67.7253,#N/A N/A,709.9265,86.5358,788.6247,728.9789,#N/A N/A,104.7408,232.5641
2013-10-10,103.3019,#N/A N/A,#N/A N/A,#N/A N/A,129.4233,822.1495,#N/A N/A,385.7719,1501.1867,753.9341,67.7417,#N/A N/A,710.3105,86.5241,788.6247,729.0041,#N/A N/A,104.8609,232.8111
2013-10-11,103.3322,#N/A N/A,#N/A N/A,#N/A N/A,129.5089,822.4025,#N/A N/A,386.15,1502.5402,754.0113,67.7581,#N/A N/A,710.4874,86.5427,788.6247,729.1214,#N/A N/A,104.8577,232.925
2013-10-12,103.3614,#N/A N/A,#N/A N/A,#N/A N/A,129.5392,822.5935,#N/A N/A,386.2666,1502.9014,754.2053,67.7745,#N/A N/A,710.7407,86.5665,788.6247,729.2266,#N/A N/A,104.8811,232.9847
2013-10-13,103.3897,#N/A N/A,#N/A N/A,#N/A N/A,129.5666,822.7874,#N/A N/A,386.3738,1503.1356,754.3827,67.7909,#N/A N/A,710.9862,86.5935,788.6247,729.1663,#N/A N/A,104.9048,233.0408
2013-10-14,103.413,#N/A N/A,#N/A N/A,#N/A N/A,129.622,823.2351,#N/A N/A,386.537,1505.4266,754.9066,67.8073,#N/A N/A,710.418,86.5938,788.6247,729.3167,#N/A N/A,104.9359,233.0964
2013-10-15,103.4675,#N/A N/A,#N/A N/A,#N/A N/A,129.6798,823.7406,#N/A N/A,386.5333,1506.8346,755.2792,67.8237,#N/A N/A,710.6258,86.6651,788.6247,729.5855,#N/A N/A,104.9892,233.1885
2013-10-16,103.514,#N/A N/A,#N/A N/A,#N/A N/A,129.76,824.3778,#N/A N/A,386.77,1508.8861,755.6535,67.8401,#N/A N/A,711.027,86.6203,788.6247,729.6152,#N/A N/A,105.0225,233.2938
2013-10-17,103.5052,#N/A N/A,#N/A N/A,#N/A N/A,129.6556,823.3553,#N/A N/A,386.7589,1510.5889,755.6579,67.8564,#N/A N/A,710.8377,86.4581,788.6247,729.7725,#N/A N/A,105.1665,233.435
2013-10-18,103.4928,#N/A N/A,#N/A N/A,#N/A N/A,129.4001,822.697,#N/A N/A,386.5832,1508.3603,754.8903,67.8728,#N/A N/A,710.5035,86.4565,788.6247,728.8123,#N/A N/A,104.9685,233.1385
2013-10-19,103.5237,#N/A N/A,#N/A N/A,#N/A N/A,129.4231,822.8764,#N/A N/A,386.6878,1508.6232,755.0167,67.8892,#N/A N/A,710.772,86.4824,788.6247,728.9148,#N/A N/A,104.9911,233.1932
2013-10-20,103.551,#N/A N/A,#N/A N/A,#N/A N/A,129.4491,823.0599,#N/A N/A,386.7688,1508.6347,755.1611,67.9056,#N/A N/A,711.0335,86.5058,788.6247,729.0256,#N/A N/A,105.0186,233.247
2013-10-21,103.5938,#N/A N/A,#N/A N/A,#N/A N/A,129.5036,823.8008,#N/A N/A,386.7935,1521.992,755.3163,67.922,#N/A N/A,711.3816,87.3843,788.6247,730.0162,#N/A N/A,105.0915,233.3395
2013-10-22,103.5895,#N/A N/A,#N/A N/A,#N/A N/A,129.3473,823.1933,#N/A N/A,386.4692,1520.2271,754.524,67.9384,#N/A N/A,711.9826,87.3574,788.6247,730.387,#N/A N/A,105.0268,233.2089
2013-10-23,103.6489,#N/A N/A,#N/A N/A,#N/A N/A,129.2966,822.9435,#N/A N/A,386.3694,1518.6807,754.2858,67.9548,#N/A N/A,711.3558,87.3021,788.6247,730.4815,#N/A N/A,105.0295,233.202
2013-10-24,103.6142,#N/A N/A,#N/A N/A,#N/A N/A,129.205,822.8375,#N/A N/A,386.228,1519.2965,754.5438,67.9712,#N/A N/A,710.5844,87.3327,788.6247,730.3876,#N/A N/A,104.9654,233.0612
2013-10-25,103.6059,#N/A N/A,#N/A N/A,#N/A N/A,129.1407,822.9988,#N/A N/A,386.1965,1518.1381,754.456,67.9876,#N/A N/A,711.7783,87.3768,788.6247,730.9289,#N/A N/A,104.9343,232.9984
2013-10-26,103.6308,#N/A N/A,#N/A N/A,#N/A N/A,129.1719,823.2305,#N/A N/A,386.3212,1518.5256,754.6044,68.004,#N/A N/A,711.8863,87.3994,788.6247,731.0504,#N/A N/A,104.957,233.0549
2013-10-27,103.6534,#N/A N/A,#N/A N/A,#N/A N/A,129.1986,823.4095,#N/A N/A,386.4194,1518.9075,754.7147,68.0204,#N/A N/A,711.9274,87.4131,788.6247,731.1954,#N/A N/A,104.9847,233.1047
2013-10-28,103.7774,#N/A N/A,#N/A N/A,#N/A N/A,129.1774,823.4237,#N/A N/A,386.5385,1519.353,754.6432,68.0368,#N/A N/A,712.1572,87.4211,788.6247,732.4573,#N/A N/A,105.0678,233.2195
2013-10-29,103.83,#N/A N/A,#N/A N/A,#N/A N/A,129.2621,825.8956,#N/A N/A,386.8817,1518.4475,754.7727,68.0532,#N/A N/A,711.4999,87.3891,788.6247,732.8489,#N/A N/A,105.028,233.2998
2013-10-30,103.9591,#N/A N/A,#N/A N/A,#N/A N/A,129.3221,826.2639,#N/A N/A,387.2486,1517.5782,755.3828,68.0696,#N/A N/A,713.4698,87.4061,788.6247,732.9333,#N/A N/A,105.0776,233.4876
2013-10-31,103.979,#N/A N/A,#N/A N/A,#N/A N/A,129.1525,825.6443,#N/A N/A,387.193,1516.5216,754.8308,68.086,#N/A N/A,713.4941,87.3659,788.6247,732.8813,#N/A N/A,104.9941,233.3548
2013-11-01,104.006,#N/A N/A,#N/A N/A,#N/A N/A,129.1761,825.6582,#N/A N/A,387.16,1514.0938,754.7645,68.1023,#N/A N/A,713.398,87.4441,788.6247,732.2354,#N/A N/A,105.0565,233.4254
2013-11-02,104.0337,#N/A N/A,#N/A N/A,#N/A N/A,129.2065,825.8793,#N/A N/A,387.2722,1514.7005,754.9293,68.1187,#N/A N/A,713.6689,87.4679,788.6247,732.3468,#N/A N/A,105.0788,233.484
2013-11-03,104.065,#N/A N/A,#N/A N/A,#N/A N/A,129.2416,826.1111,#N/A N/A,387.4029,1515.0853,755.1217,68.1351,#N/A N/A,713.9398,87.4917,788.6247,732.6418,#N/A N/A,105.107,233.5509
2013-11-04,104.0924,#N/A N/A,#N/A N/A,#N/A N/A,129.1668,825.9548,#N/A N/A,387.3657,1513.4467,755.3192,68.1515,#N/A N/A,714.542,87.5089,788.6247,732.6749,#N/A N/A,105.0979,233.5393
2013-11-05,104.1148,#N/A N/A,#N/A N/A,#N/A N/A,129.2113,826.0585,#N/A N/A,387.586,1514.0508,755.1802,68.1679,#N/A N/A,715.23,87.4697,788.6247,732.6311,#N/A N/A,105.0959,233.5931
2013-11-06,104.1221,#N/A N/A,#N/A N/A,#N/A N/A,129.0857,825.8603,#N/A N/A,387.5751,1514.4722,755.5066,68.1843,#N/A N/A,715.9363,87.5054,788.6247,733.0172,#N/A N/A,105.031,233.5304
2013-11-07,104.1169,#N/A N/A,#N/A N/A,#N/A N/A,129.0803,826.1731,#N/A N/A,387.447,1513.7844,755.5244,68.2007,#N/A N/A,714.8538,87.5449,788.6247,732.8611,#N/A N/A,105.0269,233.5338
2013-11-08,104.2127,#N/A N/A,#N/A N/A,#N/A N/A,129.4768,827.9651,#N/A N/A,388.069,1515.5736,756.4045,68.2171,#N/A N/A,715.7251,87.6085,788.6247,733.6129,#N/A N/A,105.2395,233.9823
2013-11-09,104.2393,#N/A N/A,#N/A N/A,#N/A N/A,129.508,828.1932,#N/A N/A,388.1871,1515.9307,756.5409,68.2335,#N/A N/A,715.9633,87.6324,788.6247,733.7364,#N/A N/A,105.2618,234.0403
2013-11-10,104.2645,#N/A N/A,#N/A N/A,#N/A N/A,129.531,828.3446,#N/A N/A,388.2731,1516.0497,756.6628,68.2499,#N/A N/A,716.0311,87.6553,788.6247,733.8445,#N/A N/A,105.2847,234.0888
2013-11-11,104.2568,#N/A N/A,#N/A N/A,#N/A N/A,129.4637,827.6718,#N/A N/A,388.0405,1514.1488,756.6369,68.2663,#N/A N/A,715.7265,87.6703,788.6247,733.7429,#N/A N/A,105.2532,234.0241
2013-11-12,104.246,#N/A N/A,#N/A N/A,#N/A N/A,129.33,827.1377,#N/A N/A,387.677,1512.3335,756.0907,68.2827,#N/A N/A,714.6709,87.6516,788.6247,733.5931,#N/A N/A,105.1847,233.8716
2013-11-13,104.1321,#N/A N/A,#N/A N/A,#N/A N/A,129.255,827.1802,#N/A N/A,387.4254,1513.0575,756.4749,68.2991,#N/A N/A,713.6416,87.6823,788.6247,733.7573,#N/A N/A,105.168,233.6421
2013-11-14,104.0677,#N/A N/A,#N/A N/A,#N/A N/A,129.3782,827.4993,#N/A N/A,387.49,1513.5254,756.5914,68.3155,#N/A N/A,713.6687,87.7501,788.6247,733.7595,#N/A N/A,105.1739,233.6713
2013-11-15,104.0813,#N/A N/A,#N/A N/A,#N/A N/A,129.4099,827.5524,#N/A N/A,387.4834,1513.0677,756.4714,68.3319,#N/A N/A,713.138,87.7364,788.6247,733.6702,#N/A N/A,105.2182,233.7125
2013-11-16,104.1091,#N/A N/A,#N/A N/A,#N/A N/A,129.439,827.7671,#N/A N/A,387.5992,1513.4227,756.5968,68.3482,#N/A N/A,713.3881,87.7599,788.6247,733.7769,#N/A N/A,105.2406,233.7698
2013-11-17,104.1335,#N/A N/A,#N/A N/A,#N/A N/A,129.4683,827.899,#N/A N/A,387.6759,1513.7776,756.7221,68.3646,#N/A N/A,713.5905,87.7835,788.6247,733.7082,#N/A N/A,105.2589,233.8237
2013-11-18,104.179,#N/A N/A,#N/A N/A,#N/A N/A,129.4977,827.5265,#N/A N/A,387.8622,1515.1015,763.5167,68.381,#N/A N/A,713.9942,87.7476,788.6247,733.5066,#N/A N/A,105.2785,233.9119
2013-11-19,104.267,#N/A N/A,#N/A N/A,#N/A N/A,129.5695,827.8819,#N/A N/A,388.0581,1515.5915,763.8235,68.3974,#N/A N/A,714.3498,87.7582,788.6247,733.8878,#N/A N/A,105.3726,234.0744
2013-11-20,104.3063,#N/A N/A,#N/A N/A,#N/A N/A,129.6073,828.1759,#N/A N/A,388.3299,1516.8201,764.3055,68.4138,#N/A N/A,714.6274,87.7886,788.6247,734.1844,#N/A N/A,105.4025,234.1564
2013-11-21,104.362,#N/A N/A,#N/A N/A,#N/A N/A,129.7669,829.0604,#N/A N/A,388.5537,1517.5381,764.895,68.4302,#N/A N/A,715.1707,87.821,788.6247,733.802,#N/A N/A,105.5509,234.3566
2013-11-22,104.4137,#N/A N/A,#N/A N/A,#N/A N/A,129.8004,829.0026,#N/A N/A,388.7362,1517.6016,764.931,68.4466,#N/A N/A,715.6139,87.7761,788.6247,734.1358,#N/A N/A,105.5967,234.4367
2013-11-23,104.48,#N/A N/A,#N/A N/A,#N/A N/A,129.8535,829.4731,#N/A N/A,388.9574,1517.9523,765.0515,68.463,#N/A N/A,715.8631,87.869,788.6247,734.7545,#N/A N/A,105.6192,234.5569
2013-11-24,104.5094,#N/A N/A,#N/A N/A,#N/A N/A,129.8832,829.7007,#N/A N/A,389.0858,1518.2615,765.1769,68.4794,#N/A N/A,716.1756,87.8925,788.6247,734.8591,#N/A N/A,105.6423,234.6164
2013-11-25,104.6035,#N/A N/A,#N/A N/A,#N/A N/A,129.9803,830.2405,#N/A N/A,389.4184,1519.9555,765.7254,68.4958,#N/A N/A,717.2714,87.9252,788.6247,734.8012,#N/A N/A,105.6953,234.7947
2013-11-26,104.6265,#N/A N/A,#N/A N/A,#N/A N/A,130.025,830.6635,#N/A N/A,389.657,1521.4008,766.2156,68.5122,#N/A N/A,717.2401,87.9695,788.6247,735.416,#N/A N/A,105.6807,234.8317
2013-11-27,104.6268,#N/A N/A,#N/A N/A,#N/A N/A,130.0823,830.7691,#N/A N/A,389.8218,1522.3363,766.4779,68.5286,#N/A N/A,717.2857,87.978,788.6247,735.674,#N/A N/A,105.7003,234.873
2013-11-28,104.6551,#N/A N/A,#N/A N/A,#N/A N/A,130.1073,830.9684,#N/A N/A,389.9295,1522.6986,766.6099,68.545,#N/A N/A,717.5369,88.0023,788.6247,735.777,#N/A N/A,105.7235,234.9267
2013-11-29,104.6424,#N/A N/A,#N/A N/A,#N/A N/A,130.073,830.7728,#N/A N/A,390.0217,1523.1423,766.3649,68.5614,#N/A N/A,717.6788,87.9783,788.6247,735.8149,#N/A N/A,105.6581,234.8608
2013-11-30,104.671,#N/A N/A,#N/A N/A,#N/A N/A,130.1026,830.9946,#N/A N/A,390.1394,1523.5046,766.4988,68.5778,#N/A N/A,717.9318,88.0025,788.6247,735.9179,#N/A N/A,105.6811,234.9192
2013-12-01,104.6902,#N/A N/A,#N/A N/A,#N/A N/A,130.1073,831.1047,#N/A N/A,390.1793,1523.8668,766.3365,68.5941,#N/A N/A,718.185,88.0267,788.6247,736.0208,#N/A N/A,105.693,234.9437
2013-12-02,104.7686,#N/A N/A,#N/A N/A,#N/A N/A,130.2874,833.6692,#N/A N/A,391.5621,1529.7467,766.3602,68.6105,#N/A N/A,718.3297,88.044,788.6247,736.1211,#N/A N/A,105.718,235.2
2013-12-03,104.7236,#N/A N/A,#N/A N/A,#N/A N/A,130.1457,833.0865,#N/A N/A,391.2867,1528.1003,765.6082,68.6269,#N/A N/A,718.3418,88.0341,788.6247,735.8674,#N/A N/A,105.6387,235.027
2013-12-04,104.7785,#N/A N/A,#N/A N/A,#N/A N/A,130.2725,833.9811,#N/A N/A,391.4817,1529.4659,765.7258,68.6433,#N/A N/A,719.0664,88.0433,788.6247,736.1035,#N/A N/A,105.7357,235.1938
2013-12-05,104.7874,#N/A N/A,#N/A N/A,#N/A N/A,130.255,834.8898,#N/A N/A,391.6452,1532.8196,765.6408,68.6597,#N/A N/A,719.6327,88.0675,788.6247,735.8073,#N/A N/A,105.6716,235.1515
2013-12-06,104.8403,#N/A N/A,#N/A N/A,#N/A N/A,130.3376,835.3311,#N/A N/A,391.8323,1533.4429,766.0078,68.6761,#N/A N/A,720.1844,88.0978,788.6247,735.7031,#N/A N/A,105.7438,235.2969
2013-12-07,104.8817,#N/A N/A,#N/A N/A,#N/A N/A,130.3607,835.5241,#N/A N/A,391.9363,1533.6901,766.0995,68.6925,#N/A N/A,720.4774,88.1118,788.6247,735.8051,#N/A N/A,105.774,235.3621
2013-12-08,104.9096,#N/A N/A,#N/A N/A,#N/A N/A,130.3835,835.7233,#N/A N/A,392.041,1533.9793,766.2297,68.7089,#N/A N/A,720.7174,88.1358,788.6247,735.9071,#N/A N/A,105.7926,235.4132
2013-12-09,104.9981,#N/A N/A,#N/A N/A,#N/A N/A,130.5755,837.1007,#N/A N/A,392.1902,1535.6719,766.4265,68.7253,#N/A N/A,722.1352,88.1471,788.6247,736.2555,#N/A N/A,105.971,235.6998
2013-12-10,105.0243,#N/A N/A,#N/A N/A,#N/A N/A,130.63,837.4431,#N/A N/A,392.4926,1534.5656,766.6422,68.7417,#N/A N/A,721.9074,88.1753,788.6247,736.3981,#N/A N/A,105.9974,235.7732
2013-12-11,105.0494,#N/A N/A,#N/A N/A,#N/A N/A,130.65,837.5664,#N/A N/A,392.2666,1534.4645,765.9836,68.7581,#N/A N/A,722.1601,88.1996,788.6247,737.077,#N/A N/A,106.0203,235.7869
2013-12-12,105.1019,#N/A N/A,#N/A N/A,#N/A N/A,130.7015,838.015,#N/A N/A,392.4665,1535.0933,766.0922,68.7745,#N/A N/A,722.5728,88.2292,788.6247,736.9443,#N/A N/A,106.0816,235.894
2013-12-13,105.0962,#N/A N/A,#N/A N/A,#N/A N/A,130.989,838.8285,#N/A N/A,392.6042,1535.5441,766.036,68.7909,#N/A N/A,722.0498,88.4312,788.6247,738.2083,#N/A N/A,106.2963,236.1672
2013-12-14,105.1241,#N/A N/A,#N/A N/A,#N/A N/A,131.0156,839.0061,#N/A N/A,392.6889,1535.9255,766.164,68.8073,#N/A N/A,722.2997,88.4554,788.6247,738.3115,#N/A N/A,106.3192,236.222
2013-12-15,105.1509,#N/A N/A,#N/A N/A,#N/A N/A,131.0444,839.2199,#N/A N/A,392.8002,1536.283,766.2844,68.8236,#N/A N/A,722.5388,88.4797,788.6247,738.4117,#N/A N/A,106.3416,236.2779
2013-12-16,105.196,#N/A N/A,#N/A N/A,#N/A N/A,131.0741,839.7766,#N/A N/A,392.8056,1536.2873,766.2697,68.84,#N/A N/A,722.5575,88.4903,788.6247,738.584,#N/A N/A,106.3441,236.3689
2013-12-17,105.1592,#N/A N/A,#N/A N/A,#N/A N/A,130.5388,837.9559,#N/A N/A,392.4777,1535.5319,765.8107,68.8564,#N/A N/A,722.3491,88.4154,788.6247,737.6839,#N/A N/A,105.9721,235.8175
2013-12-18,105.2348,#N/A N/A,#N/A N/A,#N/A N/A,130.692,843.5808,#N/A N/A,392.6155,1536.2095,765.8016,68.8728,#N/A N/A,723.3251,88.3919,788.6247,738.3369,#N/A N/A,106.1093,236.0378
2013-12-19,105.2812,#N/A N/A,#N/A N/A,#N/A N/A,130.4102,841.7314,#N/A N/A,392.7133,1537.2317,766.399,68.8892,#N/A N/A,724.2483,88.4189,788.6247,738.071,#N/A N/A,105.8839,235.7957
2013-12-20,105.2647,#N/A N/A,#N/A N/A,#N/A N/A,130.5909,842.2169,#N/A N/A,410.9285,1537.9764,766.6407,68.9056,#N/A N/A,723.7845,88.4361,788.6247,738.7719,#N/A N/A,105.9821,235.9414
2013-12-21,105.2936,#N/A N/A,#N/A N/A,#N/A N/A,130.6192,842.4283,#N/A N/A,411.0495,1538.3569,766.7684,68.922,#N/A N/A,724.0625,88.4579,788.6247,738.8744,#N/A N/A,106.0035,235.9988
2013-12-22,105.3075,#N/A N/A,#N/A N/A,#N/A N/A,130.6364,842.5797,#N/A N/A,411.0898,1538.7373,766.8629,68.9384,#N/A N/A,724.2746,88.4724,788.6247,738.9382,#N/A N/A,106.0204,236.03
2013-12-23,103.3927,#N/A N/A,#N/A N/A,#N/A N/A,133.7122,842.9039,#N/A N/A,395.2763,1533.8423,767.5013,68.9548,#N/A N/A,757.0683,88.4663,1076.2837,739.1352,#N/A N/A,106.0579,236.3021
2013-12-24,103.4306,#N/A N/A,#N/A N/A,#N/A N/A,133.7097,843.0618,#N/A N/A,395.3832,1534.3427,767.7168,68.9712,#N/A N/A,757.3708,88.4919,1076.16,739.4266,#N/A N/A,106.0757,236.3571
2013-12-25,103.4614,#N/A N/A,#N/A N/A,#N/A N/A,133.7356,843.267,#N/A N/A,395.4912,1534.7141,767.8446,68.9876,#N/A N/A,757.6495,88.516,1076.4104,739.5289,#N/A N/A,106.0981,236.4143
2013-12-26,103.4839,#N/A N/A,#N/A N/A,#N/A N/A,133.6617,843.1387,#N/A N/A,395.5693,1534.6281,768.0741,69.004,#N/A N/A,757.6895,88.548,1076.3025,739.4902,#N/A N/A,106.0581,236.3874
2013-12-27,103.5169,#N/A N/A,#N/A N/A,#N/A N/A,133.6469,843.277,#N/A N/A,395.6954,1535.1717,767.8346,69.0204,#N/A N/A,758.3826,88.5557,1075.7709,739.6983,#N/A N/A,106.0757,236.4435
2013-12-28,103.5477,#N/A N/A,#N/A N/A,#N/A N/A,133.6728,843.4822,#N/A N/A,395.8033,1535.5423,767.9626,69.0368,#N/A N/A,758.6613,88.5798,1076.0216,739.8006,#N/A N/A,106.0981,236.5006
2013-12-29,103.5784,#N/A N/A,#N/A N/A,#N/A N/A,133.7012,843.6987,#N/A N/A,395.9223,1535.9128,768.0906,69.0532,#N/A N/A,758.94,88.6039,1076.3914,740.0853,#N/A N/A,106.1205,236.5602
2013-12-30,103.6305,#N/A N/A,#N/A N/A,#N/A N/A,133.6833,843.8487,#N/A N/A,396.0595,1536.0704,768.6316,69.0695,#N/A N/A,760.1995,88.6699,1076.7828,740.0275,#N/A N/A,106.1288,236.6023
2013-12-31,103.6684,#N/A N/A,#N/A N/A,#N/A N/A,133.707,843.8441,#N/A N/A,396.1018,1536.8733,769.2064,69.0859,#N/A N/A,760.5795,88.7072,1074.6554,740.4032,#N/A N/A,106.1551,236.6587
2014-01-01,103.695,#N/A N/A,#N/A N/A,#N/A N/A,133.729,844.838,#N/A N/A,396.1846,1537.0862,769.3048,69.0986,#N/A N/A,760.8222,88.7248,1074.6554,740.5105,#N/A N/A,106.1746,236.7057
2014-01-02,103.7016,#N/A N/A,#N/A N/A,#N/A N/A,133.8843,844.3558,#N/A N/A,396.2333,1536.2923,769.2916,69.1112,#N/A N/A,760.6583,88.6886,1074.6554,740.3785,#N/A N/A,106.2767,236.8337
2014-01-03,103.7477,#N/A N/A,#N/A N/A,#N/A N/A,134.0296,844.8272,#N/A N/A,396.3768,1536.6493,768.9339,69.1239,#N/A N/A,761.2165,88.6759,1074.6554,740.129,#N/A N/A,106.4058,237.0295
2014-01-04,103.7741,#N/A N/A,#N/A N/A,#N/A N/A,134.0518,844.9953,#N/A N/A,396.4617,1536.8939,769.0489,69.1365,#N/A N/A,761.4517,88.6934,1074.6554,740.2474,#N/A N/A,106.4248,237.0765
2014-01-05,103.7961,#N/A N/A,#N/A N/A,#N/A N/A,134.0725,845.1607,#N/A N/A,396.5317,1537.0589,769.1568,69.1491,#N/A N/A,761.4987,88.7106,1074.6554,740.311,#N/A N/A,106.4446,237.1173
2014-01-06,103.8117,#N/A N/A,#N/A N/A,#N/A N/A,134.2,845.8164,#N/A N/A,396.5767,1537.4551,769.4263,69.1618,#N/A N/A,761.2631,88.747,1074.6554,740.3381,#N/A N/A,106.5311,237.2626
2014-01-07,103.7928,#N/A N/A,#N/A N/A,#N/A N/A,133.9883,845.2327,#N/A N/A,396.4866,1537.7812,768.6475,69.1744,#N/A N/A,761.0059,88.6855,1074.6554,740.4171,#N/A N/A,106.388,237.0429
2014-01-08,103.8424,#N/A N/A,#N/A N/A,#N/A N/A,134.2235,846.142,#N/A N/A,396.7278,1539.7283,768.9132,69.1871,#N/A N/A,761.1401,88.6809,1074.6554,740.7825,#N/A N/A,106.5211,237.2495
2014-01-09,103.891,#N/A N/A,#N/A N/A,#N/A N/A,134.3108,846.4498,#N/A N/A,396.8398,1540.7475,768.8564,69.1997,#N/A N/A,762.3923,88.4955,1074.6554,740.9496,#N/A N/A,106.5925,237.3852
2014-01-10,103.8787,#N/A N/A,#N/A N/A,#N/A N/A,133.9656,845.0734,#N/A N/A,396.0999,1537.2385,767.3237,69.2123,#N/A N/A,761.7197,88.3457,1074.6554,740.3617,#N/A N/A,106.2334,236.7522
2014-01-11,103.9008,#N/A N/A,#N/A N/A,#N/A N/A,133.9791,845.2294,#N/A N/A,396.1651,1537.2413,767.4258,69.225,#N/A N/A,761.9162,88.3635,1074.6554,740.2259,#N/A N/A,106.2454,236.7864
2014-01-12,103.9294,#N/A N/A,#N/A N/A,#N/A N/A,133.9935,845.3957,#N/A N/A,396.2612,1538.3209,767.3101,69.2376,#N/A N/A,762.2631,88.3405,1074.6554,740.3889,#N/A N/A,106.2631,236.8281
