,S&P 500 Growth Total Return Index,S&P 500 High Beta Total Return Index,S&P 500 Quality U.S. Dollar Gross Total Return Index,S&P 500 QVML Multi-Factor Index (USD) TR,S&P 500 Value Total Return Index,S&P 500 Revenue-Weighted Index (TR),S&P 500 Minimum Volatility Total Return Index,S&P 500 Equal Weighted USD Total Return Index,S&P 500 Buyback Total Return Index,S&P 500 Low Volatility Total Return Index,S&P 500 Momentum U.S. Dollar Gross Total Return Index,S&P 500 Enhanced Value Total Return Index,S&P 500 Pure Growth Total Return Index,S&P 500 Dividend Aristocrats Total Return Index,S&P 500 Pure Value Total Return Index,S&P 500 Low Volatility High Dividend Index,S&P 500 High Dividend Total Return Index,S&P 100 Total Return 4 JAN 1988 Index
,SPTRSGX Index,SP5HBIT Index,SPXQUT Index,SPXQLMUT Index,SPTRSVX Index,REVWLT Index,SP5MVT Index,SPXEWTR Index,SPBUYUT Index,SP5LVIT Index,SP500MUT Index,SPXEVUT Index,SPTRXPG Index,SPDAUDT Index,SPTRXPV Index,SP5LVHDT Index,SPXHDUT Index,SPTR100 Index
2020-03-31,4275.54,9657.46,1954.35,1114.89,4838.942,11115.34,15945,6220.56,20685.62,18788.12,1303.592,1014.983,12094.23,2353.191,7806.14,20499.64,17401.85,2477.93
2020-04-01,4091.25,9052.39,1883.64,1068.56,4618.917,10645.25,15257.64,5915.28,19527.4,17883.48,1249.669,951.32,11500.46,2258.659,7295.21,19403.12,16276.21,2377.41
2020-04-02,4180.14,9217.6,1945.48,1097.32,4732.725,10803.17,15588.83,6004.69,19765.96,18223.33,1287.593,959.017,11693.63,2300.785,7331.17,19657.03,16460.33,2438.84
2020-04-03,4119.43,9054.77,1925.48,1081.49,4658.784,10639.97,15347.15,5912.96,19330.69,17865.79,1269.924,941.144,11468.63,2269.459,7247.17,19333.11,16245.23,2403.99
2020-04-04,4119.43,9054.77,1925.48,1081.49,4658.784,10639.97,15347.15,5912.96,19330.69,17865.79,1269.924,941.144,11468.63,2269.459,7247.17,19333.11,16245.23,2403.99
2020-04-05,4119.43,9054.77,1925.48,1081.49,4658.784,10639.97,15347.15,5912.96,19330.69,17865.79,1269.924,941.144,11468.63,2269.459,7247.17,19333.11,16245.23,2403.99
2020-04-06,4426.75,9960.05,2052.01,1154.66,4960.853,11368,16381.72,6362.9,21004.37,19164.78,1360.098,1014.914,12487.36,2417.912,7849.32,20540.24,17450.07,2563.86
2020-04-07,4407.05,10066.97,2032.24,1148.65,4971.468,11398.08,16386.49,6405.32,21215.15,19112.93,1345.593,1035.893,12518.03,2428.895,8022.86,20857.58,17857.69,2552.58
2020-04-08,4536.23,10602.2,2099.61,1190.75,5174.12,11812.23,16966.56,6676.65,22193.15,19931.36,1390.684,1090.235,13016.36,2516.514,8437.81,21844.99,18839.41,2627.98
2020-04-09,4576.95,10743.11,2103.836,1210.98,5287.15,11995.13,17364.99,6831.36,22671.91,20653.16,1415.449,1129.614,13152.17,2565.118,8773.84,22706.1,19615.79,2655.04
2020-04-10,4576.95,10743.11,2103.836,1210.98,5287.15,11995.13,17364.99,6831.36,22671.91,20653.16,1415.449,1129.614,13152.17,2565.118,8773.84,22706.1,19615.79,2655.04
2020-04-11,4576.95,10743.11,2103.836,1210.98,5287.15,11995.13,17364.99,6831.36,22671.91,20653.16,1415.449,1129.614,13152.17,2565.118,8773.84,22706.1,19615.79,2655.04
2020-04-12,4576.95,10743.11,2103.836,1210.98,5287.15,11995.13,17364.99,6831.36,22671.91,20653.16,1415.449,1129.614,13152.17,2565.118,8773.84,22706.1,19615.79,2655.04
2020-04-13,4563.57,10568.06,2083.5,1192.58,5185.9,11845.36,17091.43,6680.8,22161.03,20067.14,1391.8,1099.962,12994.23,2510.668,8528.15,22176.6,19102.7,2645.24
2020-04-14,4734.72,10811.1,2153.59,1229.15,5299.65,12166.75,17629.23,6854.4,22628.83,20668.62,1438.68,1113.135,13451.17,2582.418,8626.44,22569.85,19424.25,2730.5
2020-04-15,4655.18,10349.3,2102.01,1194.98,5147.43,11866.14,17207.57,6637.18,21767.63,19996.74,1407.401,1062.869,13140.14,2500.977,8212.13,21564.36,18453.75,2681.74
2020-04-16,4705.26,10254.9,2110.2,1194.08,5143.8,11905.52,17363.15,6633.87,21638.07,19966.02,1420.916,1049.809,13225.63,2503.374,8051.02,21267.86,18113.35,2701
2020-04-17,4797.27,10730.8,2170.44,1231.07,5331.94,12268.79,17826.94,6883.41,22588.71,20631.26,1459.187,1102.993,13655.19,2591.927,8499.24,22227.78,19033.91,2759.2
2020-04-18,4797.27,10730.8,2170.44,1231.07,5331.94,12268.79,17826.94,6883.41,22588.71,20631.26,1459.187,1102.993,13655.19,2591.927,8499.24,22227.78,19033.91,2759.2
2020-04-19,4797.27,10730.8,2170.44,1231.07,5331.94,12268.79,17826.94,6883.41,22588.71,20631.26,1459.187,1102.993,13655.19,2591.927,8499.24,22227.78,19033.91,2759.2
2020-04-20,4721.49,10489.39,2133.65,1201.06,5221.96,12029.08,17471.87,6738.42,22141.86,19998.32,1425.73,1078.354,13393.79,2534.642,8300.72,21679.78,18491.25,2714.68
2020-04-21,4564.86,10110.87,2067.61,1169.86,5079.36,11681.93,16996.26,6546.48,21436.02,19519.9,1385.098,1041.444,12914.69,2470.423,8054.95,21125.52,17972.93,2631.39
2020-04-22,4694.55,10437.57,2118.59,1191.4,5159.57,11885.96,17373.61,6674.04,21804.9,19865.79,1424.363,1057.205,13341.09,2506.256,8150.11,21347.35,18127.26,2691.91
2020-04-23,4688.78,10507.65,2116.4,1183.66,5162.51,11919.62,17298.96,6678.27,21902.05,19594.53,1411.741,1066.112,13336.59,2498.694,8243.42,21327.35,18209.89,2692.8
2020-04-24,4757.85,10717.86,2147.12,1199.48,5229.08,12082.37,17510.68,6772.85,22295.39,19776.43,1425.352,1082.201,13557.82,2536.114,8362.74,21630.21,18439.73,2729.73
2020-04-25,4757.85,10717.86,2147.12,1199.48,5229.08,12082.37,17510.68,6772.85,22295.39,19776.43,1425.352,1082.201,13557.82,2536.114,8362.74,21630.21,18439.73,2729.73
2020-04-26,4757.85,10717.86,2147.12,1199.48,5229.08,12082.37,17510.68,6772.85,22295.39,19776.43,1425.352,1082.201,13557.82,2536.114,8362.74,21630.21,18439.73,2729.73
