,NFCIADJ Index
#NAME?,0.553249
1981-08-21,3.277754
1981-08-28,3.190979
1981-09-04,3.132878
1981-09-11,3.098853
1981-09-18,3.058586
1981-09-25,3.00172
1981-10-02,2.942635
1981-10-09,2.884962
1981-10-16,2.854105
1981-10-23,2.846023
1981-10-30,2.835248
1981-11-06,2.788242
1981-11-13,2.693079
1981-11-20,2.556568
1981-11-27,2.416336
1981-12-04,2.313067
1981-12-11,2.259319
1981-12-18,2.243014
1981-12-25,2.236942
1982-01-01,2.202521
1982-01-08,2.131631
1982-01-15,2.049395
1982-01-22,1.984066
1982-01-29,1.972744
1982-02-05,2.011946
1982-02-12,2.090201
1982-02-19,2.174238
1982-02-26,2.234504
1982-03-05,2.25505
1982-03-12,2.248484
1982-03-19,2.242133
1982-03-26,2.249307
1982-04-02,2.272301
1982-04-09,2.311443
1982-04-16,2.353121
1982-04-23,2.389896
1982-04-30,2.432725
1982-05-07,2.50064
1982-05-14,2.610439
1982-05-21,2.774367
1982-05-28,2.975612
1982-06-04,3.1885
1982-06-11,3.388953
1982-06-18,3.539256
1982-06-25,3.616757
1982-07-02,3.618082
1982-07-09,3.555188
1982-07-16,3.447122
1982-07-23,3.33231
1982-07-30,3.242505
1982-08-06,3.212102
1982-08-13,3.265297
1982-08-20,3.404887
1982-08-27,3.623067
1982-09-03,3.882347
1982-09-10,4.123731
1982-09-17,4.279828
1982-09-24,4.284244
1982-10-01,4.105258
1982-10-08,3.752088
1982-10-15,3.274045
1982-10-22,2.748238
1982-10-29,2.248311
1982-11-05,1.831425
1982-11-12,1.523874
1982-11-19,1.325355
1982-11-26,1.217161
1982-12-03,1.166739
1982-12-10,1.140574
1982-12-17,1.112094
1982-12-24,1.055155
1982-12-31,0.962558
1983-01-07,0.839327
1983-01-14,0.703807
1983-01-21,0.574441
1983-01-28,0.469695
1983-02-04,0.395476
1983-02-11,0.346725
1983-02-18,0.317564
1983-02-25,0.300257
1983-03-04,0.288671
1983-03-11,0.28935
1983-03-18,0.303148
1983-03-25,0.321284
1983-04-01,0.334908
1983-04-08,0.328707
1983-04-15,0.29186
1983-04-22,0.225775
1983-04-29,0.141938
1983-05-06,0.057404
1983-05-13,-0.010886
1983-05-20,-0.055945
1983-05-27,-0.083602
1983-06-03,-0.097615
1983-06-10,-0.104402
1983-06-17,-0.106952
1983-06-24,-0.101719
1983-07-01,-0.084273
1983-07-08,-0.059989
1983-07-15,-0.034428
1983-07-22,-0.018548
1983-07-29,-0.017916
1983-08-05,-0.032341
1983-08-12,-0.055904
1983-08-19,-0.084466
1983-08-26,-0.112605
1983-09-02,-0.142682
1983-09-09,-0.178971
1983-09-16,-0.221403
1983-09-23,-0.261872
1983-09-30,-0.29149
1983-10-07,-0.299402
1983-10-14,-0.281022
1983-10-21,-0.240532
1983-10-28,-0.193919
